City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Roma,US,43.2128,-75.4557,69.8,52,1,11.5,clear sky
81,Axim,GH,4.8699,-2.2405,85.89,68,97,10.63,overcast clouds
82,North Platte,US,41.1239,-100.7654,48.2,53,1,24.16,clear sky
83,Albany,US,42.6001,-73.9662,70.0,60,100,10.18,overcast clouds
84,East London,ZA,-33.0153,27.9116,71.6,94,75,9.22,broken clouds
85,Leirvik,NO,59.7798,5.5005,45.0,49,1,4.0,clear sky
86,San Juan,AR,-31.5375,-68.5364,67.8,35,0,11.39,clear sky
87,Sibu,MY,2.3,111.8167,78.8,94,40,3.44,scattered clouds
88,Clyde River,CA,70.4692,-68.5914,32.0,74,1,28.77,light snow
89,Port Alfred,ZA,-33.5906,26.891,71.01,84,96,10.54,overcast clouds
90,Bathsheba,BB,13.2167,-59.5167,78.8,69,75,12.66,volcanic ash
91,Dunedin,NZ,-45.8742,170.5036,54.0,85,11,2.1,few clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,78.8,83,40,9.22,scattered clouds
93,Sisimiut,GL,66.9395,-53.6735,31.8,75,46,11.23,scattered clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,37,0,5.75,clear sky
95,Smidovich,RU,48.6,133.8167,43.5,47,100,2.08,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,-19.68,99,54,7.49,broken clouds
97,Yakovlevka,RU,44.425,133.4772,46.74,68,33,8.7,scattered clouds
98,Grindavik,IS,63.8424,-22.4338,39.2,93,90,26.46,light rain
99,San Quintin,MX,30.4833,-115.95,58.55,81,100,7.87,overcast clouds
100,Codrington,AU,-38.2667,141.9667,54.84,74,100,11.12,overcast clouds
101,Port Lincoln,AU,-34.7333,135.8667,60.17,58,100,10.0,overcast clouds
102,Oum Hadjer,TD,13.2954,19.6966,103.71,4,0,5.75,clear sky
103,Kapaa,US,22.0752,-159.319,64.4,88,20,6.91,light rain
104,Georgetown,MY,5.4112,100.3354,81.0,89,40,1.14,scattered clouds
105,Killam,CA,52.7834,-111.8518,24.8,93,96,14.97,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,77.0,47,100,8.05,overcast clouds
