City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Utmanzai,PK,77.0,haze,34.188,71.7629,Durrani’s Qala
418,Tual,ID,83.23,broken clouds,-5.6667,132.75,Grand Vilia Hotel
419,Vieques,PR,82.4,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
420,Ampanihy,MG,80.02,clear sky,-24.7,44.75,Angora Hotel
421,Bang Saphan,TH,79.23,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
424,Doha,QA,84.2,clear sky,25.2867,51.5333,Movenpick Hotel Doha
425,Maceio,BR,75.2,mist,-9.6658,-35.7353,Poutur Pousada
426,Port Hedland,AU,82.4,broken clouds,-20.3167,118.5667,The Esplanade Hotel
428,Jertih,MY,82.4,few clouds,5.7336,102.4897,One Utama Hotel
429,Siavonga,ZM,84.09,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
431,Fort Wellington,GY,76.41,moderate rain,6.4,-57.6,TE'AMO Entertainment Park
432,Acajutla,SV,79.0,clear sky,13.5928,-89.8275,asi es
433,Paita,PE,82.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
434,Estelle,US,70.0,clear sky,29.8458,-90.1067,Ohio
435,San Juan Del Parana,PY,75.2,drizzle,-27.3,-55.9667,Del Sur Hotel - Museo
436,Manyana,BW,83.66,clear sky,-23.4,21.7167,
437,Merrydale,US,70.0,clear sky,30.5013,-91.1084,SureStay Plus Hotel by Best Western Baton Rouge
440,Lashio,MM,72.73,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
441,Pizarro,CO,78.39,light rain,4.9533,-77.366,Hotel Limonar
442,Manokwari,ID,79.36,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
445,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
448,Atyrau,KZ,75.2,clear sky,47.1167,51.8833,River Palace Hotel
451,Pennathur,IN,81.82,clear sky,12.25,79.2333,Aadhi's
454,Burgersdorp,ZA,82.56,overcast clouds,-30.9977,26.3286,DeKat Self Catering
455,Chimoio,MZ,77.0,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
457,Guatire,VE,84.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
459,Vao,NC,75.72,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
467,Diamantino,BR,86.43,clear sky,-14.4086,-56.4461,Hotel Delta
469,Isla Mujeres,MX,84.2,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
474,Caravelas,BR,79.11,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
478,Tiznit,MA,72.81,broken clouds,29.5833,-9.5,
487,Namibe,AO,87.8,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
489,Trairi,BR,86.56,moderate rain,-3.2778,-39.2689,janelas do mar
492,Wilmington,US,75.0,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
493,Sorong,ID,80.96,overcast clouds,-0.8833,131.25,waigo splash hotel
494,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
504,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
508,Stabat,ID,78.8,mist,3.761,98.4513,Link VII damai
509,Alyangula,AU,75.2,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
512,Latung,PH,83.32,overcast clouds,5.5,120.8833,
513,Los Llanos De Aridane,ES,73.4,few clouds,28.6585,-17.9182,Valle Aridane
515,Kuching,MY,73.4,moderate rain,1.55,110.3333,The Ranee Boutique Suites
519,Imbituba,BR,84.2,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
520,Richards Bay,ZA,77.67,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
521,Dunda,TZ,73.11,light rain,-8.1167,34.25,
522,Majene,ID,79.11,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
523,Kampot,KH,78.8,scattered clouds,10.6167,104.1833,Two Moons Hotel
524,Bundaberg,AU,70.0,clear sky,-24.85,152.35,Takalvan Motel
526,Faya,SA,73.4,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
532,Banda Aceh,ID,81.5,scattered clouds,5.5577,95.3222,Sulthan Hotel International
542,Daund,IN,87.04,broken clouds,18.4667,74.6,Kende Wada
544,Maragogi,BR,81.09,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
545,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
547,Malanje,AO,72.7,light rain,-9.5402,16.340999999999998,Malanje Hotel
550,Touros,BR,87.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
551,Nizwa,OM,85.03,broken clouds,22.9333,57.5333,Orient Apartments
553,Mwandiga,TZ,76.15,light rain,-4.83,29.6581,One Point
557,Asyut,EG,71.6,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
559,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
