City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kodiak,US,2021-04-08 01:14:19,57.79,-152.4072,35.6,75,90,6.91
68,Hrubieszow,PL,2021-04-08 01:14:19,50.805,23.8925,29.88,77,23,10.47
69,Buraydah,SA,2021-04-08 01:14:20,26.326,43.975,71.6,23,0,10.36
70,Dobrinka,RU,2021-04-08 01:14:20,52.1653,40.4731,41.45,92,16,13.65
71,Hermanus,ZA,2021-04-08 01:07:38,-34.4187,19.2345,59.0,91,100,1.01
72,Puerto Del Rosario,ES,2021-04-08 01:14:20,28.5004,-13.8627,62.6,63,0,5.75
73,Portland,US,2021-04-08 01:14:04,45.5234,-122.6762,52.0,62,90,10.36
74,Deputatskiy,RU,2021-04-08 01:14:21,69.3,139.9,-1.57,90,82,2.89
75,Nalut,LY,2021-04-08 01:14:21,30.3333,10.85,65.23,27,0,13.33
76,New Norfolk,AU,2021-04-08 01:14:22,-42.7826,147.0587,72.0,30,100,1.99
77,Yerbogachen,RU,2021-04-08 01:07:26,61.2767,108.0108,33.21,92,32,10.13
78,Cape Town,ZA,2021-04-08 01:07:10,-33.9258,18.4232,63.0,94,0,11.5
79,Yuanping,CN,2021-04-08 01:14:22,38.7153,112.7575,53.42,45,0,2.82
80,Mareeba,AU,2021-04-08 01:14:22,-17.0,145.4333,90.0,65,28,4.0
81,Bluff,NZ,2021-04-08 01:07:50,-46.6,168.3333,64.99,61,17,3.0
82,Cap Malheureux,MU,2021-04-08 01:14:23,-19.9842,57.6142,80.01,75,96,3.0
83,Bulancak,TR,2021-04-08 01:14:23,40.9372,38.2291,50.0,100,0,1.95
84,Quatre Cocos,MU,2021-04-08 01:14:23,-20.2078,57.7625,80.01,88,75,9.22
85,Klaksvik,FO,2021-04-08 01:14:19,62.2266,-6.589,35.6,100,90,19.57
86,Comodoro Rivadavia,AR,2021-04-08 01:09:41,-45.8667,-67.5,64.4,39,0,13.8
87,Darnah,LY,2021-04-08 01:13:24,32.767,22.6367,59.13,51,100,3.38
88,Amapa,BR,2021-04-08 01:14:24,1.0,-52.0,72.0,99,100,1.92
89,Tamandare,BR,2021-04-08 01:14:24,-8.7597,-35.1047,78.39,79,100,7.43
90,Kenitra,MA,2021-04-08 01:14:25,34.261,-6.5802,60.8,94,75,3.44
91,Saldanha,ZA,2021-04-08 01:14:25,-33.0117,17.9442,59.0,88,4,4.61
92,Sorong,ID,2021-04-08 01:14:21,-0.8833,131.25,83.48,72,100,4.7
93,Kalmar,SE,2021-04-08 01:12:18,56.6616,16.3616,35.01,100,90,2.3
94,Zelenogorskiy,RU,2021-04-08 01:14:26,55.0333,87.0,32.0,80,40,13.42
95,Atuona,PF,2021-04-08 01:08:12,-9.8,-139.0333,80.73,73,5,15.26
96,Chuy,UY,2021-04-08 01:14:26,-33.6971,-53.4616,69.89,82,0,13.6
97,Chippewa Falls,US,2021-04-08 01:14:26,44.9369,-91.3929,71.6,53,1,8.05
98,Jumla,NP,2021-04-08 01:14:27,29.2747,82.1838,43.84,67,1,5.01
99,Bud,US,2021-04-08 01:14:27,39.447,-86.1758,64.99,82,49,10.13
100,Husavik,IS,2021-04-08 01:14:27,66.0449,-17.3389,23.0,86,90,19.57
101,Solnechnyy,RU,2021-04-08 01:14:27,50.7214,136.6319,27.23,87,100,8.41
102,Nikolsk,RU,2021-04-08 01:14:28,53.7189,46.0712,40.91,88,100,18.21
103,Bambous Virieux,MU,2021-04-08 01:07:35,-20.3428,57.7575,80.01,88,75,9.22
104,Markova,UA,2021-04-08 01:14:28,48.6758,24.4138,23.16,86,36,6.64
105,Bengkulu,ID,2021-04-08 01:07:51,-3.8004,102.2655,77.49,81,96,3.36
106,Albany,US,2021-04-08 01:14:29,42.6001,-73.9662,57.2,58,20,9.22
107,Talnakh,RU,2021-04-08 01:14:29,69.4865,88.3972,1.56,95,69,0.4
108,Tayoltita,MX,2021-04-08 01:14:29,24.0833,-105.9333,75.88,38,36,4.5
109,Sterling,US,2021-04-08 01:10:59,39.0062,-77.4286,71.6,46,40,8.05
110,Oliva,ES,2021-04-08 01:14:30,38.9197,-0.1194,53.01,77,100,7.87
